PLAYER_NAME,PLAYER_TYPE,IPL_TEAM
Mitchell Starc,Bowler,DC
T. Natarajan,Bowler,DC
Mohit Sharma,Bowler,DC
Mukesh Kumar,Bowler,DC
Dushmantha Chameera,Bowler,DC
Kuldeep Yadav,Bowler,DC
Mustafizur Rahman,Bowler,DC
KL Rahul,WK-Batter,DC
Karun Nair,Batter,DC
Faf du Plessis,Batter,DC
Donovan Ferreira,WK-Batter,DC
Sediqullah Atal,Batter,DC
Abishek Porel,WK-Batter,DC
Tristan Stubbs,WK-Batter,DC
Axar Patel,All-Rounder,DC
Sameer Rizvi,All-Rounder,DC
Ashutosh Sharma,All-Rounder,DC
Darshan Nalkande,All-Rounder,DC
Vipraj Nigam,All-Rounder,DC
Ajay Mandal,All-Rounder,DC
Manvanth Kumar,All-Rounder,DC
Tripurana Vijay,All-Rounder,DC
Madhav Tiwari,All-Rounder,DC
Ishan Kishan,WK-Batter,SRH
Atharva Taide,Batter,SRH
Abhinav Manohar,Batter,SRH
Aniket Verma,Batter,SRH
Sachin Baby,Batter,SRH
Smaran Ravichandran,Batter,SRH
Heinrich Klaasen,WK-Batter,SRH
Travis Head,Batter,SRH
Harshal Patel,All-Rounder,SRH
Kamindu Mendis,All-Rounder,SRH
Wiaan Mulder,All-Rounder,SRH
Harsh Dubey,All-Rounder,SRH
Abhishek Sharma,All-Rounder,SRH
Nitish Kumar Reddy,All-Rounder,SRH
Pat Cummins,Bowler,SRH
Mohammad Shami,Bowler,SRH
Rahul Chahar,Bowler,SRH
Simarjeet Singh,Bowler,SRH
Zeeshan Ansari,Bowler,SRH
Jaydev Unadkat,Bowler,SRH
Eshan Malinga,Bowler,SRH
Avesh Khan,Bowler,LSG
Akash Deep,Bowler,LSG
M. Siddharth,Bowler,LSG
Digvesh Singh,Bowler,LSG
Akash Singh,Bowler,LSG
Shamar Joseph,Bowler,LSG
Prince Yadav,Bowler,LSG
William O’Rourke,Bowler,LSG
Ravi Bishnoi,Bowler,LSG
Rishabh Pant,WK-Batter,LSG
David Miller,Batter,LSG
Aiden Markram,Batter,LSG
Aryan Juyal,WK-Batter,LSG
Himmat Singh,Batter,LSG
Matthew Breetzke,Batter,LSG
Nicholas Pooran,WK-Batter,LSG
Mitchell Marsh,All-Rounder,LSG
Abdul Samad,All-Rounder,LSG
Shahbaz Ahamad,All-Rounder,LSG
Yuvraj Chaudhary,All-Rounder,LSG
Rajvardhan Hangargekar,All-Rounder,LSG
Arshin Kulkarni,All-Rounder,LSG
Ayush Badoni,All-Rounder,LSG
Shardul Thakur,All-Rounder,LSG
Rachin Ravindra,All-Rounder,CSK
Ravichandran Ashwin,All-Rounder,CSK
Vijay Shankar,All-Rounder,CSK
Sam Curran,All-Rounder,CSK
Anshul Kamboj,All-Rounder,CSK
Deepak Hooda,All-Rounder,CSK
Jamie Overton,All-Rounder,CSK
Kamlesh Nagarkoti,All-Rounder,CSK
Ramakrishna Ghosh,All-Rounder,CSK
Ravindra Jadeja,All-Rounder,CSK
Shivam Dube,All-Rounder,CSK
MS Dhoni,WK-Batter,CSK
Dewald Brevis,Batter,CSK
Devon Conway,Batter,CSK
Rahul Tripathi,Batter,CSK
Shaik Rasheed,Batter,CSK
Vansh Bedi,WK-Batter,CSK
Andre Siddarth,Batter,CSK
Ayush Mhatre,Batter,CSK
Urvil Patel,WK-Batter,CSK
Khaleel Ahmed,Bowler,CSK
Noor Ahmad,Bowler,CSK
Mukesh Choudhary,Bowler,CSK
Nathan Ellis,Bowler,CSK
Shreyas Gopal,Bowler,CSK
Matheesha Pathirana,Bowler,CSK
Nishant Sindhu,All-Rounder,GT
Mahipal Lomror,All-Rounder,GT
Washington Sundar,All-Rounder,GT
Mohd. Arshad Khan,All-Rounder,GT
Sai Kishore,All-Rounder,GT
Jayant Yadav,All-Rounder,GT
Karim Janat,All-Rounder,GT
